"Tetradoxa","Adoxaceae","Dipsacales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","Campanulidae","","","","","","","","","","",""
"Viburnum","Adoxaceae","Dipsacales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","Campanulidae","","","","","","","","","","",""
"Abelia","Caprifoliaceae","Dipsacales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","Campanulidae","","","","","","","","","","",""
"Acanthocalyx","Caprifoliaceae","Dipsacales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","Campanulidae","","","","","","","","","","",""
"Aretiastrum","Caprifoliaceae","Dipsacales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","Campanulidae","","","","","","","","","","",""
"Astrephia","Caprifoliaceae","Dipsacales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","Campanulidae","","","","","","","","","","",""
"Bassecoia","Caprifoliaceae","Dipsacales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","Campanulidae","","","","","","","","","","",""
"Belonanthus","Caprifoliaceae","Dipsacales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","Campanulidae","","","","","","","","","","",""
"Centranthus","Caprifoliaceae","Dipsacales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","Campanulidae","","","","","","","","","","",""
"Cephalaria","Caprifoliaceae","Dipsacales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","Campanulidae","","","","","","","","","","",""
"Cryptothladia","Caprifoliaceae","Dipsacales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","Campanulidae","","","","","","","","","","",""
"Diervilla","Caprifoliaceae","Dipsacales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","Campanulidae","","","","","","","","","","",""
"Dipelta","Caprifoliaceae","Dipsacales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","Campanulidae","","","","","","","","","","",""
"Dipsacus","Caprifoliaceae","Dipsacales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","Campanulidae","","","","","","","","","","",""
"Ebulum","Caprifoliaceae","Dipsacales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","Campanulidae","","","","","","","","","","",""
"Fedia","Caprifoliaceae","Dipsacales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","Campanulidae","","","","","","","","","","",""
"Hepatoxdium","Caprifoliaceae","Dipsacales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","Campanulidae","","","","","","","","","","",""
"Heptacodium","Caprifoliaceae","Dipsacales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","Campanulidae","","","","","","","","","","",""
"Knautia","Caprifoliaceae","Dipsacales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","Campanulidae","","","","","","","","","","",""
"Kolkwitzia","Caprifoliaceae","Dipsacales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","Campanulidae","","","","","","","","","","",""
"Leycesteria","Caprifoliaceae","Dipsacales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","Campanulidae","","","","","","","","","","",""
"Linnaea","Caprifoliaceae","Dipsacales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","Campanulidae","","","","","","","","","","",""
"Lomelosia","Caprifoliaceae","Dipsacales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","Campanulidae","","","","","","","","","","",""
"Lonicera","Caprifoliaceae","Dipsacales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","Campanulidae","","","","","","","","","","",""
"Macrodiervilla","Caprifoliaceae","Dipsacales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","Campanulidae","","","","","","","","","","",""
"Metalonicera","Caprifoliaceae","Dipsacales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","Campanulidae","","","","","","","","","","",""
"Morina","Caprifoliaceae","Dipsacales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","Campanulidae","","","","","","","","","","",""
"Nardostachys","Caprifoliaceae","Dipsacales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","Campanulidae","","","","","","","","","","",""
"Oreinotinus","Caprifoliaceae","Dipsacales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","Campanulidae","","","","","","","","","","",""
"Patrinia","Caprifoliaceae","Dipsacales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","Campanulidae","","","","","","","","","","",""
"Phyllactis","Caprifoliaceae","Dipsacales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","Campanulidae","","","","","","","","","","",""
"Plectritis","Caprifoliaceae","Dipsacales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","Campanulidae","","","","","","","","","","",""
"Pseudobetckea","Caprifoliaceae","Dipsacales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","Campanulidae","","","","","","","","","","",""
"Pseudoscabiosa","Caprifoliaceae","Dipsacales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","Campanulidae","","","","","","","","","","",""
"Pterocephalidium","Caprifoliaceae","Dipsacales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","Campanulidae","","","","","","","","","","",""
"Pterocephalodes","Caprifoliaceae","Dipsacales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","Campanulidae","","","","","","","","","","",""
"Pterocephalus","Caprifoliaceae","Dipsacales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","Campanulidae","","","","","","","","","","",""
"Pycnocomon","Caprifoliaceae","Dipsacales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","Campanulidae","","","","","","","","","","",""
"Scabiosa","Caprifoliaceae","Dipsacales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","Campanulidae","","","","","","","","","","",""
"Siphonella","Caprifoliaceae","Dipsacales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","Campanulidae","","","","","","","","","","",""
"Sixalix","Caprifoliaceae","Dipsacales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","Campanulidae","","","","","","","","","","",""
"Stangea","Caprifoliaceae","Dipsacales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","Campanulidae","","","","","","","","","","",""
"Succisa","Caprifoliaceae","Dipsacales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","Campanulidae","","","","","","","","","","",""
"Succisella","Caprifoliaceae","Dipsacales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","Campanulidae","","","","","","","","","","",""
"Symphoria","Caprifoliaceae","Dipsacales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","Campanulidae","","","","","","","","","","",""
"Symphoricarpos","Caprifoliaceae","Dipsacales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","Campanulidae","","","","","","","","","","",""
"Tinus","Caprifoliaceae","Dipsacales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","Campanulidae","","","","","","","","","","",""
"Triosteum","Caprifoliaceae","Dipsacales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","Campanulidae","","","","","","","","","","",""
"Triplostegia","Caprifoliaceae","Dipsacales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","Campanulidae","","","","","","","","","","",""
"Valeriana","Caprifoliaceae","Dipsacales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","Campanulidae","","","","","","","","","","",""
"Valerianella","Caprifoliaceae","Dipsacales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","Campanulidae","","","","","","","","","","",""
"Vesalea","Caprifoliaceae","Dipsacales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","Campanulidae","","","","","","","","","","",""
"Weigela","Caprifoliaceae","Dipsacales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","Campanulidae","","","","","","","","","","",""
"Weigelastrum","Caprifoliaceae","Dipsacales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","Campanulidae","","","","","","","","","","",""
"Xylosteon","Caprifoliaceae","Dipsacales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","Campanulidae","","","","","","","","","","",""
"Zabelia","Caprifoliaceae","Dipsacales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","Campanulidae","","","","","","","","","","",""
"Ephedra","Ephedraceae","Ephedrales","Spermatophyta","","","","","","","","","","","","","","","","","","","Acrogymnospermae","","Coniferae","",""
"Actinidia","Actinidiaceae","Ericales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","","","","","","","","","","",""
"Clematoclethra","Actinidiaceae","Ericales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","","","","","","","","","","",""
"Saurauia","Actinidiaceae","Ericales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","","","","","","","","","","",""
"Hydrocera","Balsaminaceae","Ericales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","","","","","","","","","","",""
"Impatiens","Balsaminaceae","Ericales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","","","","","","","","","","",""
"Clethra","Clethraceae","Ericales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","","","","","","","","","","",""
"Purdiaea","Clethraceae","Ericales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","","","","","","","","","","",""
"Cliftonia","Cyrillaceae","Ericales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","","","","","","","","","","",""
"Cyrilla","Cyrillaceae","Ericales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","","","","","","","","","","",""
"Berneuxia","Diapensiaceae","Ericales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","","","","","","","","","","",""
"Diapensia","Diapensiaceae","Ericales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","","","","","","","","","","",""
"Galax","Diapensiaceae","Ericales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","","","","","","","","","","",""
"Pyxidanthera","Diapensiaceae","Ericales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","","","","","","","","","","",""
"Schizocodon","Diapensiaceae","Ericales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","","","","","","","","","","",""
"Sherwoodia","Diapensiaceae","Ericales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","","","","","","","","","","",""
"Shortia","Diapensiaceae","Ericales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","","","","","","","","","","",""
"Diospyros","Ebenaceae","Ericales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","","","","","","","","","","",""
"Euclea","Ebenaceae","Ericales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","","","","","","","","","","",""
"Lissocarpa","Ebenaceae","Ericales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","","","","","","","","","","",""
"Maba","Ebenaceae","Ericales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","","","","","","","","","","",""
"Acrostemon","Ericaceae","Ericales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","","","","","","","","","","",""
"Acrothamnus","Ericaceae","Ericales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","","","","","","","","","","",""
"Acrotriche","Ericaceae","Ericales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","","","","","","","","","","",""
"Agapetes","Ericaceae","Ericales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","","","","","","","","","","",""
"Agarista","Ericaceae","Ericales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","","","","","","","","","","",""
"Agauria","Ericaceae","Ericales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","","","","","","","","","","",""
"Agiortia","Ericaceae","Ericales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","","","","","","","","","","",""
"Allotropa","Ericaceae","Ericales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","","","","","","","","","","",""
"Andersonia","Ericaceae","Ericales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","","","","","","","","","","",""
"Andromeda","Ericaceae","Ericales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","","","","","","","","","","",""
"Androstoma","Ericaceae","Ericales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","","","","","","","","","","",""
"Anomalanthus","Ericaceae","Ericales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","","","","","","","","","","",""
"Anthopteropsis","Ericaceae","Ericales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","","","","","","","","","","",""
"Anthopterus","Ericaceae","Ericales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","","","","","","","","","","",""
"Arachnocalyx","Ericaceae","Ericales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","","","","","","","","","","",""
"Arbutus","Ericaceae","Ericales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","","","","","","","","","","",""
"Archeria","Ericaceae","Ericales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","","","","","","","","","","",""
"Arctostaphylos","Ericaceae","Ericales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","","","","","","","","","","",""
"Arctous","Ericaceae","Ericales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","","","","","","","","","","",""
"Astroloma","Ericaceae","Ericales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","","","","","","","","","","",""
"Azalea","Ericaceae","Ericales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","","","","","","","","","","",""
"Befaria","Ericaceae","Ericales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","","","","","","","","","","",""
"Bejaria","Ericaceae","Ericales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","","","","","","","","","","",""
"Brachyloma","Ericaceae","Ericales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","","","","","","","","","","",""
"Brossea","Ericaceae","Ericales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","","","","","","","","","","",""
"Bruckenthalia","Ericaceae","Ericales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","","","","","","","","","","",""
"Bryanthus","Ericaceae","Ericales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","","","","","","","","","","",""
"Budawangia","Ericaceae","Ericales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","","","","","","","","","","",""
"Calluna","Ericaceae","Ericales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","","","","","","","","","","",""
"Calopteryx","Ericaceae","Ericales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","","","","","","","","","","",""
"Cassandra","Ericaceae","Ericales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","","","","","","","","","","",""
"Cassiope","Ericaceae","Ericales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","","","","","","","","","","",""
"Cavendishia","Ericaceae","Ericales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","","","","","","","","","","",""
"Ceratiola","Ericaceae","Ericales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","","","","","","","","","","",""
"Ceratostema","Ericaceae","Ericales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","","","","","","","","","","",""
"Chamaedaphne","Ericaceae","Ericales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","","","","","","","","","","",""
"Cheilotheca","Ericaceae","Ericales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","","","","","","","","","","",""
"Chimaphila","Ericaceae","Ericales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","","","","","","","","","","",""
"Choristemon","Ericaceae","Ericales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","","","","","","","","","","",""
"Cladothamnus","Ericaceae","Ericales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","","","","","","","","","","",""
"Coccosperma","Ericaceae","Ericales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","","","","","","","","","","",""
"Coilostigma","Ericaceae","Ericales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","","","","","","","","","","",""
"Coleanthera","Ericaceae","Ericales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","","","","","","","","","","",""
"Comarostaphylis","Ericaceae","Ericales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","","","","","","","","","","",""
"Conostephium","Ericaceae","Ericales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","","","","","","","","","","",""
"Corema","Ericaceae","Ericales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","","","","","","","","","","",""
"Cosmelia","Ericaceae","Ericales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","","","","","","","","","","",""
"Costera","Ericaceae","Ericales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","","","","","","","","","","",""
"Craibiodendron","Ericaceae","Ericales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","","","","","","","","","","",""
"Croninia","Ericaceae","Ericales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","","","","","","","","","","",""
"Cyathodes","Ericaceae","Ericales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","","","","","","","","","","",""
"Cyathopsis","Ericaceae","Ericales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","","","","","","","","","","",""
"Daboecia","Ericaceae","Ericales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","","","","","","","","","","",""
"Decatoca","Ericaceae","Ericales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","","","","","","","","","","",""
"Demosthenesia","Ericaceae","Ericales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","","","","","","","","","","",""
"Didonica","Ericaceae","Ericales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","","","","","","","","","","",""
"Dimorphanthera","Ericaceae","Ericales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","","","","","","","","","","",""
